Content,Suspicious_Level,ChannelName,ChannelId,MessageId,Date,EditDate
В Мелитополь вошла Росгвардия. Над зданием полиции флаг России.,1,,,,,
? Киев блокирован с западной стороны Минобороны РФ,1,,,,,
"<a href=""https://t.me/MediaKiller2021/1932"" onclick=""return confirm('Open this link?\n\n'+this.href);"" rel=""noopener"" target=""_blank"">Коллеги вы же понимаете</a>, что без разрешение из Кремля - этот борт бы не вылетел, а упал бы ""случайно"". Номер то - ""07"".",1,,,,,
"Несмотря на то, что бригады ВСУ достаточно хорошо окопались за годы украинской оккупации Донбасса, это не спасает их от массированных российских ударов",1,,,,,
"Макрон в разговоре с Лукашенко призвал его добиться вывода российских войск из Белоруссии, сообщил Елисейский дворец. @rt_russian",1,,,,,
"‼️ Помните рассказ Зеленского про убитых военнослужащих на острове Змеином ? ??? Эта тварь посмертно наградила их званием героев Украины. А они вот, живые, в Севастополе, получают сухпайки и отправляются проходить юридические процедуры. Гуманизм как он есть, никому не нужны жертвы, сдавайтесь! https://t.me/RIA82rf/18938 Подписывайся @sev_polit_takt чтобы ничего не пропустить",1,,,,,
"‼️ ?? Зенитный ракетно-пушечный комплекс ""Панцирь"" Армии России под Киевом едет сшибать остатки укролiтаков  ?? t.me/RVvoenkor",1,,,,,
"Пишут, что это село Водяное Запорожская область. Стоят РСЗО Ураганы. Уже под контролем РФ.",1,,,,,
"Флагман украинского флота пошёл ко дну ВМСУ затопили свой флагманский корабль - фрегат ""Гетман Сагайдачный"". Он был заложен в 1990 году как советский СКР ""Киров"" проекта 1135 для морских частей погранслужбы КГБ СССР. В 1992-м передан Украине. Снимите шляпы, господа присяжные заседатели! Укропианцы просрали последнее военно-морское наследие СССР, затопив флагман ВМСУ ""Гетьман Сагайдачный"". Помянем... А ведь он был заложен еще в далеком 1990 году, как советский СКР ""Киров"" проекта 1135 для морских частей Погранслужбы КГБ СССР. В 1992-м на свою беду был передан Украине. А мог бы жить и жить хотя бы на пенсии.",0,,,,,
"В Докучаевске ранения получили две женщины. Также, только за сегодня повреждены здания зоопарка, больницы и городской котельной. Поврежден газопровод. Обстрел продолжается, потому говорить о суммарных потерях и разрушениях еще рано. @epoddubny",1,,,,,
"Папа Римский Франциск позвонил Владимиру Зеленскому и выразил скорбь в связи с событиями на Украине, сообщило посольство Украины при Святом престоле.",1,,,,,
"В Донецке раздаются сильные взрывы Над ТРЦ «Донецк Сити» видны вспышки. Сообщается, что ВСУ ведут огонь по городу их РСЗО",1,,,,,
"Макрон, говоря о конфликте на Украине, заявил, что ""война продлится долго"", и призвал готовиться к долгосрочным последствиям для Европы.",1,,,,,
"Чорт в маске решил обратиться к Чеченцам. Несмотря на то, что это старое видео 2014 или 2015 года, оно активно расшаривается по украинским пабликам.  Обращаемся к антроссийски настроенным украинцам - это миролюбивые Русские на такое внимание не обращают. А вот Чеченцы после неизбежной Победы вполне могут с вас и спросить. За каждый ваш лайк и репост. ИИ фиксирует и анализирует все. Думай-те!",1,,,,,
"Николай Помогалов, депутат совета Нахимовского муниципального округа:  Я полностью поддерживаю слова и приказ главнокомандующего Владимира Владимировича Путина, потому что на протяжении восьми лет продолжались издевательства над Донбассом. За эти годы на территории Донбасса погибло около 13 тысяч людей.  Как историк, хочу сказать, что за восемь лет, да и за последние десятилетия, в Украине начали переписывать страницы истории, особенно что касается темы Великой Отечественной войны. У них героями стали Бандера, все его приспешники, которые присягали Гитлеру. Поэтому я и поддерживаю этот указ.  Запад добился того, что два наших братских народа начали воевать между собой. Они этого добивались год за годом, действие за действием. Снабжали националистов оружием, обучали их, поддерживали. Сейчас, я считаю, они добились своей цели. Они хотели, чтобы возле границ России была нестабильность. Владимир Владимирович принял решение вырезать эту раковую опухоль.  Желаю терпения жителям Донбасса, выдержки солдатам, которые сейчас сражаются за то, чтобы справедливость восторжествовала. Верьте в наше государство, в нашего Президента. Всё будет хорошо.",1,,,,,
"Россия всегда выступала за дипломатическое решение ситуации на Украине, заявил Лавров.",1,,,,,
"⚡️ Подразделения 1-го батальона 36 бригады морской пехоты ВСУ вчера были выбиты с позиций в районе Павлопольского водохранилища на Мариупольском направлении. Оставшиеся в живых морпехи бежали с позиций. Пятеро бойцов добровольно сложили оружие и под руководством сержанта перешли на территорию ДНР. Сейчас их жизни ничего не угрожает. Украинский солдат! Сложи оружие или умрёшь!  ⚡️ Бойцы ДНР сегодня выбили морпехов 36 бригады ВСУ с позиций в районе Павлополя и Пищевика на юге признанной Республики. Успешное уничтожение противника осуществлено при поддержке авиации. У противника много убитых и раненных, есть пленные.",1,,,,,
"Явка на республиканском референдуме по внесению изменений и дополнений в Конституцию Белоруссии на досрочном голосовании, которое проходило с 22 по 26 февраля, составила 42,93%, сообщает Центризбирком страны. Видео: Лейла Тураянова/ТАСС",1,,,,,
"Отмечаем, что начало зачистки Харькова начинается в День Сил Специальных Операций.",1,,,,,
"В Северодонецке на стадионе средней школы № 11 ВСУ развернули расчеты Д-30, подставляя под ответку мирных жителей. Украинство во всей его красе...",1,,,,,
"Жалующимся гражданским жителям Украины (не нацистам) стоит напомнить, что у Украины было 8 лет, чтобы не допустить того, что происходит в эти дни. Так что терпите, благо в отличие от Донецка и Луганска, вам недолго терпеть все это - тут 8 лет ждать окончания не придется.",1,,,,,
Украинцы обстреливают свой МиГ-29 из ПЗРК.,1,,,,,
"Могу бесконечно наблюдать как горит укропский арсенал в Балаклее. От содержимого тех складов уже не пострадает ни один нормальный человек. На ненормальных, у нас свои склады есть",1,,,,,
"Детский садик на улице Буслаева 39 в Донецке. Сюда прилетел снаряд в субботу утром. Разбиты практически все стёкла в окнах. Осколки, пыль и штукатурка на маленьких детских кроватках. Повреждена крыша. Вокруг жилые дома. Слышен бой где-то вдалеке. Я приехал и уехал. А они так живут уже почти 8 лет.",1,,,,,
‼️ ?  В Киеве идут бои за овладение городом. Российская армия наступает . Район Совки t.me/RVvoenkor,1,,,,,
"В ходе боевых действий захвачено большое количество вооружений, поставленных западными странами на Украину за последние месяцы, сообщили в МО РФ.",1,,,,,
"Российские военные уничтожили шесть боевых самолетов, один вертолет и пять авиабеспилотников Украины, сообщили в Минобороны РФ.",1,,,,,
В районе Николаева идёт стрелковый бой.,1,,,,,
А потом грузинское правительство отказалось вводить санкции против России. Народ и власть едины! https://t.me/parstodayrussian/89649,1,,,,,
"Зеленский доказывает, что он не в бункере, что не уехал из Киева: публикует видео в Telegram. @rt_russian",1,,,,,
⚡️ МОК призвал спортивные федерации перенести или отменить все соревнования в России и Белоруссии ⚡️ Исполком МОК призывает не использовать национальные флаги и гимны России и Белоруссии на любых спортивных мероприятиях — релиз,1,,,,,
❗️ Цель России - смена правительства на Украине — генсек НАТО Йенс Столтенберг,1,,,,,
"Председатель Следственного комитета РФ Александр Бастрыкин поручил проверить информацию об обстрелах украинскими силовиками станицы в Краснодарском крае, где, по данным СМИ, пострадали три человека, и инцидента в Ростовской области. Протестующие у посольства России в Ирландии против спецоперации на Украине повредили машину одного из дипломатов, однако не срывали герб с ворот диппредставительства, уточнил представитель посольства.",1,,,,,
"⚡️ Лукашенко назвал Зеленского безумцем: Завтра будет война, а послезавтра - мясорубка. Поэтому если у них мозги есть - этих разного рода очумевших, пусть принимают решение, садимся за стол. Если Россия в третий раз вот буквально за последние дни подталкивает их и дает согласие, и они уже согласны на условия, которые сегодня предложены Россией, чего мы медлим, люди же гибнут! Ну а завтра, может, и переговоры никому не понадобятся. Может, страна-победитель (вы, наверное, не сомневаетесь, что может произойти) просто разговаривать ни с кем не станет. Поэтому, ну безумцы!",0,,,,,
"Фейк: В Киеве российская ракета попала в жилой дом. Такие сообщения рассылают украинские телеграм-каналы. Правда: Разрушение в жилом доме стали частью работы системы украинской ПВО. Как пишет Readovka, на это указывает как минимум несколько факторов. Во-первых, украинские СМИ распространили данные о продолжении российской десантной операции в пригороде киевской столицы, в том числе, с участием вертолетов. Вероятнее всего, ракета предназначалась российской авиации, но траектория была рассчитана неверно, поэтому она прилетела в окна простым гражданам. Кроме того, ракета темного цвета, ее инверсионный след — белый, характерный для выстрела ЗРК «Бук», который стоит на вооружении ВСУ. Удары «Калибра» и «Искандера» полностью исключены: их выстрел разрушил бы здание. Кроме того, у «Калибра» турбореактивный двигатель без шлейфа, а это явно твердотопливная.",1,,,,,
"#Прямосейчас ведем прямую трансляцию из Луганской Народной Республики.
 
 Видео: Ruptly/ТАСС
 
 Подписывайтесь на ТАСС: http://www.youtube.com/c/TASSagency/?sub_confirmation=1
 
 Наш сайт: https://tass.ru/
 Мы ВКонтакте: https://vk.com/tassagency
 Мы в Facebook: https://www.facebook.com/tassagency/
 Мы в Instagram: https://www.instagram.com/tass_agency/
 Мы в Одноклассниках: https://ok.ru/tassagency
 Мы в Twitter: https://twitter.com/tass_agency
 Мы в Telegram: https://t.me/tass_agency
 Мы в Viber: https://vb.me/tass_agency
 
 #ЛНР #Луганск #ОбстановкаВЛНР #НовостиЛНР #ЧтоПроисходитВЛНР #СобытияВЛНР #ЛНРСегодня #ТрансляцияИзЛНР #ЛНРВПрямомЭфире",1,,,,,
"Чернигов прилет во многоэтажку. Говорят русская ракета, но сейчас хз, город ведь под контролем РФ. Люди прячьтесь в подвалы, таких случаев может быть много!",1,,,,,
Поговорили с жителями Николаевки. Деревня в 2014 году в полном составе голосовала на референдуме за независимость Донбасса. Но потом 8 лет жила под властью Киева. Скоро покажем. @epoddubny,1,,,,,
⚡️ ?? ?? Состоялся телефонный разговор Пашинянa с Владимиром Путиным @CONQUEROR95,1,,,,,
"Подпишитесь на канал РБК:
 https://www.youtube.com/user/tvrbcnews?sub_confirmation=1
 ---------------------
 Раскрыты подробности российской спецоперации на острове Змеиный - смотрите в нашем сюжете
 ---------------------
 #РБК #Россия #Украина
 ---------------------
 Сайт РБК: https://www.rbc.ru/
 Получайте новости РБК в социальных сетях:
 Facebook: https://www.facebook.com/rbc.ru
 Twitter: https://twitter.com/ru_rbc
 ВКонтакте: https://vk.com/rbc
 Одноклассники: http://ok.ru/rbc
 ЧЭЗNEWS",1,,,,,
Глава МИД Венгрии Петер Сийярто вызвался помочь РФ и Украине в разрешении военного конфликта на украинской территории путем мирных переговоров в Будапеште.,1,,,,,
"<a href=""?q=%23%D0%A1%D0%BF%D0%BB%D0%B5%D1%82%D0%BD%D0%B8"">#Сплетни</a> <br/>Пошли сплетни, что правительство просило все СМИ не публиковать наши потери и колоны горящей техники, чтобы это не ослабляло боевой дух армии.<br/>Должна быть постоянно победная картинка.",1,,,,,
"«Женщина в пятницу погибла, шла по улице около своего дома. Обстрел, она упала. Приехала скорая, её погрузили в машину, но до больницы она не доехала и скончалась прямо в скорой на руках у медиков». Корр RT Роман @corrkosarev Косарев в нашем стриме — об обстрелах силами ВСУ Донецка. Подписывайтесь на наш канал . @rt_russian",1,,,,,
Пользователи сообщают о сбоях в Фейсбук и Инстаграм. @rt_russian,1,,,,,
⚡️ Канцлер Германии Олаф Шольц разрешил странам-партнёрам поставлять оружие немецкого производства в Украину.,1,,,,,
"#Слухи  #Раскладка  Тут нам сообщают, информацию ""на подумать"", что у многих вопрос, почему не отрабатывают Одессу и Николаев с моря и нет десанта. Договорняк? Могли ведь уже раз 10 зайти. Днепр тоже сольют, ведь Коломойскому отчасти некуда бежать, а он мог уже договорится, что город не трогают, а после Киева, Днепр не будет вести сопротивления, как и Кривой Рог и Запорожье и т.д. Зато их все активы, никто не отожмет. Кстати многие олигархи могли пойти на такие договорняки, ведь им надо думать о сохранении своих бизнес империй, иначе они потом никому не будут интересны. Время спорное и много вопросов. Запомните - эта информация для тех, кто умеет думать и задавать вопросы.",1,,,,,
?? ?? С Крыма на Шиловую балку в 17-30 летят российские вертолеты работать по ВСУ!,1,,,,,
"Граждане Азербайджана вне себя от злости. Они выяснили, что Арцах (Карабах) никогда не был и не будет азербайджанским. Исходя из этических соображений воздержусь от перевода, но Алиев заслужил эти слова! Телеграмм-канал: @andranik_official",1,,,,,
"Ясников Михаил зам командующего ЧФ по мат.техническому обеспечению о украинских пограничниках, добровольно сложивших оружие на острове Змеиный.",1,,,,,
Главой МВД Казахстана назначен бывший руководитель антикоррупционной службы Марат Ахметжанов.,1,,,,,
"В МИД Армении назвали дезинформацией новость о задержании армянского военного в Харькове. В украинском сегменте социальных сетей 25 февраля распространилась фотография задержанного в Харькове мужчины, у которого якобы нашли военный билет Минобороны Армении.",1,,,,,
"Устроил себе сутки информационного детокса, но это, конечно, детская позиция такая, нельзя прятаться от реальности, отрицая её: реальность от этого не меняется. В реальности наша армия скоро закончит работу, страсти утихнут, воцарится мир, которого все - вроде бы - хотят. И вот тут важно вновь не совершить ошибку, которую мы уже совершали: В 2008 В 2012 В 2014 и ещё много раз. Мы всех прощали. Это такая хорошая русская черта - прощать. Но прощать, мне кажется, можно лишь того, кто прощения просит. А не того, кто открыто ненавидит тебя и ненависть свою даже не пытается скрыть. Давайте попробуем в этот раз не простить. И я это говорю не о гражданах Украины, с ними, удивительное дело, будет проще.",1,,,,,
ПРАВИЛЬНЫЕ ТАНКИ - уступают дорогу на трассе!,1,,,,,
"Поставим этот пост еще на малое время. Сколько накидают. Накидают хоть немного-спасибо Не накидают - ничего страшного. Все равно спасибо что вы с нами! ⚠️ Реквизиты для помощи: НА Сберкарту: 4276 1609 2548 3621 или ⚡️ Яндекс 410012479564046 ⚠️ Поддержите нас посильно кто чем может. Помощь ваша неоценима для нас и важна сейчас! Существуем, работаем и стоим на ногах только благодаря вам!",1,,,,,
"Украинская артиллерия, размещенная в жилом квартале около школы. Северодонецк, ЛНР",1,,,,,
"⚡️ ✊ Новая Каховка - под контролем России, заявил мэр Коваленко. В городе сняты все украинские тряпки",1,,,,,
"Мариуполь, координаты базы Азова, действующая, нацисты там несколько часов назад суетились. Передайте выше по цепочке.",1,,,,,
"Утро второго дня военной операции России на Украине в Киеве началось с взрывов, которые раздались в нескольких районах города. О них сообщило украинское агентство УНИАН. В ГПЧС заявили, что из-за пожара пострадали восемь человек. Ночью президент Украины Владимир Зеленский объявил о введении всеобщей мобилизации в стране и заявил, что западные лидеры не готовы предоставлять военную помощь и гарантии вступления в НАТО, так как «все боятся».  По его словам, за последние сутки погибли 137 украинских военных, 316 получили ранения. Зеленский добавил, что готов говорить с Россией о нейтральном статусе Украины и о гарантиях безопасности. Страны Запада согласовали второй пакет санкций против РФ, которые затронут 70% российского банковского рынка и ключевые госкомпании, экспорт техники и оборудования, энергетический сектор. В утреннем обращении Зеленский заявил, что «Украину оставили одну» , и эти санкции Россию «не убедили». Следим за событиями в онлайн-трансляции «Газеты.Ru». @gazetaru",1,,,,,
"ДА, ДА, И ДА. ИНФОРМАЦИОННАЯ ВОЙНА ИМЕЕТ СВОИ СРАЖЕНИЯ. НЕ МЕНЕЕ ВАЖНЫЕ, ЧЕМ РЕАЛЬНЫЕ. В Испанской войне, в прошлом веке, на фронте побеждали националисты. На информационном поле - республиканцы. Но победил Франко. Сейчас должно быть все наоборот. Надо, чтоб так было. https://t.me/karaulny/358561",1,,,,,
В Одессе идёт стрельба.,1,,,,,
"Уровень запасов газа в подземных хранилищах Европы опустился ниже 30%, свидетельствуют данные Gas Infrastructure Europe. Впервые за все время наблюдений, которые ведутся с 2011 года, это произошло так рано с начала года.",1,,,,,
"Токио выразил Пхеньяну протест по дипломатическим каналам в связи с запуском баллистической ракеты, заявили в Минобороны Японии.",1,,,,,
Они же все хотят знать: «В чём сила? А как бы поступил Бодров?» Послушайте. Очень сильные слова.,1,,,,,
"⚡️  ?? ?? ??  Делегация России прибыла в Белоруссию на переговоры с украинцами. ""В соответствии с достигнутой договоренностью, российская делегация, состоящая из представителей МИД, Минобороны и других ведомств, включая администрацию президента, прибыла в Белоруссию для переговоров с украинцами. Будем готовы начать эти переговоры в Гомеле"", — Песков. @glavpolit",1,,,,,
"Пишут, что украинцы уверены что побеждают. Это нормально. Армяне, в карабахскую, недели три были уверены что побеждают. Расплата за иллюзию была жестокой. До сих по не оправились.",1,,,,,
"?? Словакия дарит Украине: - 12000 артиллерийских боеприпасов (120мм) - 10 миллионов литров топлива - 2,4 млн литров авиационного топлива - 2 системы разминирования Божена и другие материалы.",1,,,,,
Фейк: Устройства Apple могут быть заблокированы при автообновлении из-за возможных санкций. Владельцам гаджетов рекомендуют отключить автоматическое обновление операционных систем. Такие сообщения активно репостят в мессенджерах. Правда: Компания Apple не делала официальных заявлений относительно блокировки или ограничений в работе своих устройств на территории России. Подобные сообщения выгодны мошенникам: отключение автообновлений позволяет злоумышленникам выявить уязвимости и получить незаконный доступ к личным данным пользователей.,1,,,,,
"⚡️ Харьков пошла жара Комментатору на втором видео, не надейся, скоро всё изменится.",1,,,,,
"На сегодняшний день, общий внешний долг ""государства Украина"" подбирается к 200 млрд. долларов США, этот долг продолжает расти. Подробнее по ссылке: https://arbaletfire.livejournal.com/281657.html",1,,,,,
Колонна техники на Мариуполь шла 6 часов. Котел замыкается. АЗОВУ ПРИВЕТ ❤️ .,1,,,,,
Панцири под Киевом.,1,,,,,
"Канада вводит санкции против Путина, Лаврова и начальника Генштаба России. @rt_russian",1,,,,,
"Утренняя ""Точка У"" ВСУ по Донецку: https://t.me/rian_ru/148929",1,,,,,
"МИД Германии сообщил, что зафиксирован поток беженцев с Украины. Также в министерстве заявили, что дипломатов ФРГ эвакуировали с Украины в Польшу. @rt_russian",1,,,,,
Сегодня десяток яиц в Харькове можно приобрести всего лишь за тысячу гривен!!!,1,,,,,
"Украинский гарнизон Черноморского острова Змеиный сдался подразделениям ВС РФ, сообщили в Минобороны.",1,,,,,
"Война в Украине. Главное за ночь. ▪ В нескольких местах Киева ночью проходили бои. Самые ожесточенные бои шли на проспекте Победы в районе Шулявки; ▪ Выстрелы были слышны в центре Киева, на улице Богдана Хмельницкого, пишет «Украинская правда»; ▪ Украинские военные заявили об уничтожении колонны российской техники в Киеве. Подтверждений этому нет; ▪ Бои также шли к юго-западу от Киева в центре города Васильков. В городе расположены военная часть и аэродром. Украинские военные сообщали о попытке высадки там российского десанта; ▪ Минимум в шести городах Украины утром 26 февраля объявлена воздушная тревога: в Луцке, Ровно, Львове, Черкасах, Умани и Херсоне; ▪ Байден поручил госдепу выделить Украине помощь на $600 млн, в том числе 350 млн на нужды обороны; ▪ Евросоюз и США официально ввели санкции против Путина и Лаврова; ▪ Депутат Госдумы от КПРФ Михаил Матвеев заявил, что война должна быть немедленно прекращена.",1,,,,,
"Россия даёт понять, что они не готовы на переговоры с Зеленским. «Зеленский врет, когда заявляет о готовности обсуждать нейтральный статус Украины», — заявил Лавров. Нужно сказать спасибо нашему Ришелье, который два года вешал лапшу Козаку, а теперь с нами никто не хочет вести переговоры!",1,,,,,
Украинская столица заблокирована с западной стороны - Минобороны России.,1,,,,,
"Украинские военные планируют провокации, чтобы обвинить в этом силы специальной  военной операции, заявил Эдуард Басурин. «Уже сейчас боевики уничтожают мосты и другую жизненно важную инфраструктуру, оставляя за собой хаос и разрушение», — отметил замначальника управления Народной милиции ДНР. По данным ведомства, националисты готовят массированный обстрел Краматорска, Славянска и Дмитрова. Ранее они обстреляли из «Градов» жилые кварталы Старобельска, сообщили в Минобороны РФ. @rt_russian",1,,,,,
"Гордон продолжает защищать Украину с автоматом в руках срать в уши украинцам через свои соцсети. В этот раз он зачитал некую инсайдерскую инфу, которую якобы перехватила разведка Украины и передала лично лысому рэмбо ""по особым каналам"". Каналам каким, анальным?",1,,,,,
"https://t.me/swodki/25299 https://t.me/swodki/25287 https://t.me/swodki/25288 И самое время, в который раз, спросить ""защо?"" у своих же ??",1,,,,,
"⚡️ Турция не вводила ограничения на проход военных кораблей РФ через турецкие проливы Босфор и Дарданеллы — газета ""Джумхуриет"" со ссылкой на источники",1,,,,,
"? ? ? Террористы ""Азова"" бегут из Мариуполя По информации источника @anna_news в Мариуполе, после бегства СБУ и МВД, в рядах запрещённой в России группировки ""Азов"" началась паника. Главари террористов спешно покидают город, бросив рядовых бойцов умирать ради ""сверхидеи"". Куда же вы бегите? Бежать уже некуда!",1,,,,,
Бельгия поставит Украине 2000 пулемётов и 3800 тонн топлива для поддержки армии – премьер Бельгии Александр де Кро.,1,,,,,
"«Здесь есть всё — и фотографии с парадов, и фотографии американских самолетов, которые бомбили Ливию, и фотографии Сирии, и даже взрыв в Бейруте, который выдаётся как то, что происходило на Украине». Небензя на заседании совбеза ООН — о фейках вокруг военной операции России. @rt_russian",1,,,,,
"На улицах Киева идут бои. Очевидцы сообщают, что российская армия продвигается к центру города. Стрельба слышна в районе метро Лукьяновка и Политехнический институт.",1,,,,,
"Готовящийся второй пакет санкций Евросоюза включает в себя ограничения в отношении нефтяного рынка России, объявила глава Еврокомиссии Урсула фон дер Ляйен. ЕС также введет запрет на продажу самолетов и техники российским авиакомпаниям. По словам главы ЕК, новые меры могут затронуть до 70% банковского сектора России. Евросоюз намерен ограничить стране доступ к технологиям, в том числе к полупроводникам, и ввести визовые ограничения. Они коснутся дипломатов, «связанных с ними групп» и бизнесменов.",1,,,,,
Харькове взорвалась база ГСМ возле «Кулиничей».,1,,,,,
"Армия РФ зашла в Харьков! Украинские источники сообщают о десятках единиц техники Z в Харькове. Харьковчане пишут, что судя по видео, техника ВС РФ прошла через Окружную и зашла в город. Машины отмечались в микрорайоне Алексеевка. Пишут, что уже дошли до метро Киевское в Харькове. Где-то в центре по идее встретят сопротивление, так что ждем начала уличных боев. Возможно, пока что прощупывают, что у ВСУ есть в городе.",1,,,,,
"В СЦКК ДНР рассказали о ситуации на линии соприкосновения в Донбассе:<br/><br/><i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/F09F92A5.png')""><b>?</b></i>Украинская армия за минувшие сутки атаковала ДНР <b>139 раз</b>. <br/><br/><i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/F09F92A5.png')""><b>?</b></i>Общее количество боеприпасов выпущенных ВСУ по Республике составляет <b>1715 единиц</b>.<br/><br/><i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/F09F8F98.png')""><b>?</b></i>В результате обстрелов повреждения получили 53 жилых дома. <br/><br/><i class=""emoji"" style=""background-image:url('//telegram.org/img/emoji/40/F09F91A5.png')""><b>?</b></i>Погибло <b>два мирных жителя, и двенадцать были ранены</b>.",1,,,,,
"«К военным подошли бабушки и попросили убрать «Аллею славы героев Украины», сказали: «Мы ждали 8 лет вас, и дождались наконец». Ничто человеческое не чуждо и военным, они сразу же сравнили цены в магазинах с Луганском. И прямо при нас Станица Луганская перешла с гривен на рубли. Сейчас на переходе оживленное движение. Люди идут и из Станицы Луганской, и в Станицу Луганскую, и все друг друга поздравляют»: Что происходит в Станице Луганской в первые часы после освобождения",1,,,,,
"«У меня русская душа, давно хотела… А тут военные, вы кто, спрашиваю, хлопцы? А они - русские. Да не может быть! Слава тебе Богу! 8 лет ждали. Спасибо вам!» Жители освобожденного села Николаевка, которое на Волновахском направлении, встречают армию ДНР. Репортаж из села. sashakots А.Коц.",1,,,,,
"Москва из-за нападок на российские СМИ за рубежом оставляет за собой право на выверенные ответные шаги в отношении иностранных изданий в России, заявила Захарова. @rt_russian",1,,,,,
Контент специально для зумеров.)),1,,,,,
Мародеры на дорогах. Будьте острожны !,1,,,,,
Всех украинских военных с Змеиного перевезли в Севастополь. С ними хорошо обращаются и для них боевые действия закончились.,1,,,,,
⚡️ ⚡️ Колонны российской техники в Запорожской области.,1,,,,,
"⚡️ Никто не собирается оккупировать Украину, заявил Лавров.",1,,,,,
"⚡️ Зеленский предложил Путину сесть за стол переговоров. Владимир Зеленский выступил с видеообращением, в котором предложил Владимиру Путину сесть за стол переговоров. Видео: Офис президента Украины",1,,,,,
"❗️ ❗️ ❗️ По Донецку нанесен удар с применением ракетного комплекса «Точка-У » - СЦКК Предположительно, целью удара была  нефтебаза , расположенная примерно в 400 м от места падения ракеты Головная часть ракеты не сработала",1,,,,,
"Минобороны заявило, что обеспечивает безопасность Чернобыльской АЭС совместно с нацгвардией Украины. «С военнослужащими отдельного батальона охраны АЭС национальной гвардии Украины достигнута договорённость о совместном обеспечении безопасности энергоблоков, саркофага и хранилища отработанного ядерного топлива. Персонал АЭС продолжает работы по отслеживанию радиоактивной обстановки и обслуживанию АЭС в штатном режиме». В ведомстве утверждают, что совместная охрана ЧАЭС силами российских десантников и украинских военнослужащих нацелена на предотвращение «ядерных провокаций».",1,,,,,
